animal_breed,animal_type_id
Английский кокер-спаниель,1
Английский фоксхаунд,1
Английский сеттер,1
Английский спрингер-спаниель,1
Английский той-спаниель,1
Энтлебухер зенненхунд,1
Эштрельская овчарка,1
Евразиер,1
Филд-спаниель,1
Финский лаппхунд,1
Финский шпиц,1
Прямошерстный ретривер,1
Французский бульдог,1
Французский спаниель,1
Немецкий длинношерстный пойнтер,1
Немецкий пинчер,1
Немецкая овчарка,1
Немецкий короткошерстный пойнтер,1
Немецкий шпиц,1
Немецкий жесткошерстный пойнтер,1
Ризеншнауцер,1
Глен-оф-имаал-терьер,1
Золотистый ретривер,1
Гордон-сеттер,1
Большой вандейский бассет-гриффон,1
Немецкий дог,1
Пиренейская горная собака,1
Большой швейцарский зенненхунд,1
Грейхаунд,1
Гамильтонстеваре,1
Ганноверская гончая,1
Харьер,1
Гаванский бишон,1
Хоккайдо,1
Ховаварт,1
Ибицен,1
Исландская овчарка,1
Ирландский красно-белый сеттер,1
Ирландский сеттер,1
Ирландский терьер,1
Ирландский водяной спаниель,1
Ирландский волкодав,1
Итальянская левретка,1
Ягдтерьер,1
Японская акита,1
Японский хин,1
Японский шпиц,1
Японский терьер,1
Кай-кен,1
Карельская медвежья собака,1
Кеесхонд,1
Керри-блю-терьер,1
Кишу-кен,1
Комондор,1
Корейская собака джиндо,1
Кромфорлендер,1
Кувас,1
Лабрадор-ретривер,1
Лаготто-романьоло,1
Лейкленд-терьер,1
Ланкаширский хилер,1
Лапландская оленегонная собака,1
Большой мюнстерлендер,1
Леонбергер,1
Лхаса апсо,1
Левхен,1
Мальтезе,1
Манчестер-терьер стандартный,1
Манчестер-терьер той,1
Мастиф,1
Миниатюрная американская овчарка,1
Миниатюрный бультерьер,1
Цвергпинчер,1
Цвергшнауцер,1
Маунтин-кёр,1
Муди,1
Неаполитанский мастиф,1
Нидерландский коикерхондье,1
Ньюфаундленд,1
Норфолк-терьер,1
Норрботтен-шпиц,1
Норвежский бухунд,1
Норвежский элкхаунд,1
Норвежский лундехунд,1
Норвич-терьер,1
Новошотландский ретривер-толлер,1
Староанглийская овчарка,1
Оттерхаунд,1
Папийон,1
Парсон-рассел-терьер,1
Пекинес,1
Вельш-корги пемброк,1
Перуанская голая собака,1
Малый вандейский бассет-гриффон,1
Фараонова собака,1
Плотт-хаунд,1
Пойнтер,1
Польская низинная овчарка,1
Померанский шпиц,1
Пон-одемер-спаниель,1
Пудель миниатюрный,1
Пудель стандартный,1
Пудель той,1
Порселен,1
Португальский поденгу,1
Португальский поденгу пекену,1
Португальский пойнтер,1
Португальская овчарка,1
Португальская водяная собака,1
Преса канарио,1
Пудельпойнтер,1
Мопс,1
Пули,1
Пуми,1
Пиренейский мастиф,1
Пиренейская овчарка,1
Рафейру-ду-алентежу,1
Рэт-терьер,1
Красный кунхаунд,1
Родезийский риджбек,1
Румынская карпатская овчарка,1
Румынская миоритская овчарка,1
Ротвейлер,1
Рассел-терьер,1
Русский той,1
Русская цветная болонка,1
Сенбернар,1
Салюки,1
Самоед,1
Схапендус,1
Схипперке,1
Шотландская оленья борзая,1
Скотч-терьер,1
Силихем-терьер,1
Сегуджо итальяно,1
Шетландская овчарка,1
Сиба-ину,1
Ши-тцу,1
Сикоку-кен,1
Сибирский хаски,1
Силки-терьер,1
Скай-терьер,1
Слауги,1
Словацкий жесткошерстный пойнтер,1
Словацкий чувач,1
Словацкая гончая,1
Малый мюнстерлендер,1
Гладкошерстный фокстерьер,1
Мягкошерстный пшеничный терьер,1
Испанский мастиф,1
Испанская водяная собака,1
Спиноне итальяно,1
Стабихаун,1
Стаффордширский бультерьер,1
Стандартный шнауцер,1
Суссекс-спаниель,1
Шведский лаппхунд,1
Шведский вальхунд,1
Тайваньская собака,1
Тедди-рузвельт-терьер,1
Тайский бангкаев,1
Тайский риджбек,1
Тибетский мастиф,1
Тибетский спаниель,1
Тибетский терьер,1
Торньяк,1
Тоса,1
Той-фокстерьер,1
Трансильванская гончая,1
Триинг-теннесси-бриндл,1
Триинг-уокер-кунхаунд,1
Вижла,1
Вольпино итальяно,1
Веймаранер,1
Вельш-спрингер-спаниель,1
Вельш-терьер,1
Вест-хайленд-уайт-терьер,1
Веттерхун,1
Уиппет,1
Жесткошерстный фокстерьер,1
Жесткошерстный пойнтинг-гриффон,1
Жесткошерстная выжла,1
Рабочий келпи,1
Ксолоитцкуинтли,1
Якутская лайка,1
Йоркширский терьер,1
